Group,Author,uTime,Normal Time,HH:MM:SS,Text,Permalink,Likes
zoommemes,Emily Woodward,1593106765,2020-06-25 17:39:25 PDT-0700,17:39:25,Gotta get dressed up for the supermarket,,2600
zoommemes,Humans of Tumblr,1593329580,2020-06-28 07:33:00 PDT-0700,07:33:00,oh,,31
zoommemes,Ervin Baccay,1593145813,2020-06-26 04:30:13 PDT-0700,04:30:13,,,4700
zoommemes,Akshay Gupta,1593237632,2020-06-27 06:00:32 PDT-0700,06:00:32,Made this in honor of 104 days back home...,,9000
zoommemes,Men's Humor,1593329572,2020-06-28 07:32:52 PDT-0700,07:32:52,,,6
zoommemes,Nickia Muraskin,1592867283,2020-06-22 23:08:03 PDT-0700,23:08:03,,,3500
zoommemes,Dubem Ogwulumba,1592867173,2020-06-22 23:06:13 PDT-0700,23:06:13,,,1600
zoommemes,Ray Sunny,1593106618,2020-06-25 17:36:58 PDT-0700,17:36:58,postquarantine girls after being scarred from staying six feet apart for so long edit whoa i posted this a long time ago .... given how lonely quarantine has been Ill be accepting applications of men of any height now,,1200
zoommemes,Josef Hicks,1593329566,2020-06-28 07:32:46 PDT-0700,07:32:46,,,420
zoommemes,I did not slap you<comma> I high fived your face,1593329555,2020-06-28 07:32:35 PDT-0700,07:32:35,I painted the only two things I know anymore. Animal crossing and quarantine,,2
zoommemes,Nikita Redkar,1592765931,2020-06-21 18:58:51 PDT-0700,18:58:51,When you want to high five your homies but COVID19 says no,,2100
zoommemes,Rachel Levy,1593106390,2020-06-25 17:33:10 PDT-0700,17:33:10,,,2200
zoommemes,Aarin Kim,1592765746,2020-06-21 18:55:46 PDT-0700,18:55:46,,,4300
zoommemes,Varun Iyer,1593146584,2020-06-26 04:43:04 PDT-0700,04:43:04,,,10000
zoommemes,Raksha Kannan,1593106498,2020-06-25 17:34:58 PDT-0700,17:34:58,,,6400
zoommemes,Ali Azfar,1593107992,2020-06-25 17:59:52 PDT-0700,17:59:52,other single people me,,1500
zoommemes,Jason Hanson,1592867206,2020-06-22 23:06:46 PDT-0700,23:06:46,2020 does not quit,,3200
zoommemes,Jeff Liu,1593022026,2020-06-24 18:07:06 PDT-0700,18:07:06,Asking for a friend to note I did not make this I got it from another page,,1300
zoommemes,Mohammed Arafat,1593146197,2020-06-26 04:36:37 PDT-0700,04:36:37,The aCCURACY.,,2700
zoommemes,Austin Morgan,1593208563,2020-06-26 21:56:03 PDT-0700,21:56:03,A small price to pay for salvation,,16000
zoommemes,Alex Weitzman,1593106938,2020-06-25 17:42:18 PDT-0700,17:42:18,,,3500
zoommemes,Amit Kulkarni,1593042890,2020-06-24 23:54:50 PDT-0700,23:54:50,,,20000
zoommemes,Jing Winn Farlow,1592798373,2020-06-22 03:59:33 PDT-0700,03:59:33,Doctors in 2021 after graduating from Zoom School of Medicine,,3100
zoommemes,Grace Mathias,1593107819,2020-06-25 17:56:59 PDT-0700,17:56:59,Quarantine making my friend so stupid go crazy.  Please send your words of encouragement to liladingding on insta,,10000
zoommemes,Devanshu Desai,1593237647,2020-06-27 06:00:47 PDT-0700,06:00:47,,,13000
zoommemes,Josh Vignolles,1592762212,2020-06-21 17:56:52 PDT-0700,17:56:52,,,16000
zoommemes,Alex Inkiow,1593022916,2020-06-24 18:21:56 PDT-0700,18:21:56,,,7000
zoommemes,Shanze Hassan Zaidi,1593107254,2020-06-25 17:47:34 PDT-0700,17:47:34,,,5900
zoommemes,Cindy Qiang,1593015905,2020-06-24 16:25:05 PDT-0700,16:25:05,me after writing my name and student id for an essay,,2600
zoommemes,Emily Chan,1593237006,2020-06-27 05:50:06 PDT-0700,05:50:06,Me Hey university are we coming back in the fall Email from the university,,3400
zoommemes,Manic bi polar bear,1592762381,2020-06-21 17:59:41 PDT-0700,17:59:41,Move bitch<comma> get out the way Get out the way bitch<comma> get out the way,,3100
zoommemes,Nathaniel Galang,1593106504,2020-06-25 17:35:04 PDT-0700,17:35:04,,,3400
zoommemes,Peter Sauer,1593106909,2020-06-25 17:41:49 PDT-0700,17:41:49,put on a backpack today just to feel something,,7000
zoommemes,Aaditya Borse,1592867245,2020-06-22 23:07:25 PDT-0700,23:07:25,,,9000
zoommemes,Jeffrey Wang,1593232733,2020-06-27 04:38:53 PDT-0700,04:38:53,Legit the only meme i can relate to since this is what my CC did to me all over my city lol,,10000
zoommemes,Jose Andres Montoya Cabrera,1593106878,2020-06-25 17:41:18 PDT-0700,17:41:18,Ouch.,,3700
zoommemes,Zar Pras,1593107152,2020-06-25 17:45:52 PDT-0700,17:45:52,,,660
zoommemes,Jashley Nicole,1592928754,2020-06-23 16:12:34 PDT-0700,16:12:34,Im more of a Call of Duty kinda guy,,2300
zoommemes,Jessica Block,1593107501,2020-06-25 17:51:41 PDT-0700,17:51:41,,,2200
zoommemes,Winnie Singh,1592798247,2020-06-22 03:57:27 PDT-0700,03:57:27,Does anyone here actually own more than one mask,,3000
zoommemes,Kankshini Pabba,1592867370,2020-06-22 23:09:30 PDT-0700,23:09:30,Deep fried in guilt and needing to ketchup.,,7500
zoommemes,The Educated Moron,1592762379,2020-06-21 17:59:39 PDT-0700,17:59:39,New day<comma> same sun ,,2800
zoommemes,Advait Arun,1593146266,2020-06-26 04:37:46 PDT-0700,04:37:46,Okay fellas<comma> post your tinder progress throughout quarantine,,945
zoommemes,Tia Mehta,1593015900,2020-06-24 16:25:00 PDT-0700,16:25:00,hows your quarantine flabs treating yall,,2200
zoommemes,I be like,1592904598,2020-06-23 09:29:58 PDT-0700,09:29:58,,,35000
zoommemes,Emilio Salamanca,1593107772,2020-06-25 17:56:12 PDT-0700,17:56:12,It me.,,245
zoommemes,Lovish Madaan,1593106534,2020-06-25 17:35:34 PDT-0700,17:35:34,Finals season has me like,,10000
zoommemes,Aaron Yap,1592798340,2020-06-22 03:59:00 PDT-0700,03:59:00,this man out here living in 3020,,1100
zoommemes,Aviral Pandey,1593022415,2020-06-24 18:13:35 PDT-0700,18:13:35,,,3000
zoommemes,Gayathri Chaganti,1592765843,2020-06-21 18:57:23 PDT-0700,18:57:23,,,8200
zoommemes,Muskaa Zamani,1593022351,2020-06-24 18:12:31 PDT-0700,18:12:31,For some reason we thought we were better than them.,,9700
zoommemes,Jeremiah Nordstrom,1593194056,2020-06-26 17:54:16 PDT-0700,17:54:16,still waitin,,2300
zoommemes,Vicky Cheng,1592867233,2020-06-22 23:07:13 PDT-0700,23:07:13,What do you call a college student waking up for online classes a ZOOMbie ,,1600
zoommemes,Diego Stine,1592867969,2020-06-22 23:19:29 PDT-0700,23:19:29,and thats on gaining that quarantine19 ,,9200
zoommemes,Jashley Nicole,1592867996,2020-06-22 23:19:56 PDT-0700,23:19:56,,,11000
zoommemes,Jesse Uwu,1593021999,2020-06-24 18:06:39 PDT-0700,18:06:39,,,3300
zoommemes,Holly Lawrenson Evans,1592798298,2020-06-22 03:58:18 PDT-0700,03:58:18,Sad reacs only,,2100
zoommemes,Eve Many-Flowers,1593237609,2020-06-27 06:00:09 PDT-0700,06:00:09,,,2800
zoommemes,Nick Ang,1593106985,2020-06-25 17:43:05 PDT-0700,17:43:05,The current situation of the raccoons in Sixth,,745
zoommemes,Arik Schneider,1592762198,2020-06-21 17:56:38 PDT-0700,17:56:38,following the news of the apparent alt tiktok scheme this morning,,5500
zoommemes,James Erickson,1593193985,2020-06-26 17:53:05 PDT-0700,17:53:05,When youre the last one to leave the breakout room,,1800
zoommemes,Adam Erickson,1592993971,2020-06-24 10:19:31 PDT-0700,10:19:31,,,7900
zoommemes,Srishti Sarkar,1593047480,2020-06-25 01:11:20 PDT-0700,01:11:20,Day 127 of quarantine Reconsidering career path,,2700
zoommemes,Michael J. Epstein,1593107037,2020-06-25 17:43:57 PDT-0700,17:43:57,As a senior<comma> this hits ever harder...,,11000
zoommemes,Veltson Bastien,1593106482,2020-06-25 17:34:42 PDT-0700,17:34:42,The new way to greet people,,1200
zoommemes,Amanda Morningstar,1593106494,2020-06-25 17:34:54 PDT-0700,17:34:54,A big finals mood,,793
zoommemes,Allison Ou,1593106850,2020-06-25 17:40:50 PDT-0700,17:40:50,Though I am out of college by a couple of years and just here for the quality memes<comma> I wanted to share with you all one of the PEAKS of my academic career,,3600
zoommemes,Shady Lawendy,1592904553,2020-06-23 09:29:13 PDT-0700,09:29:13,Math is applicable to real life<comma> they said,,1800
zoommemes,Kankshini Pabba,1593022399,2020-06-24 18:13:19 PDT-0700,18:13:19,,,2400
zoommemes,Aaron Ocken,1592762302,2020-06-21 17:58:22 PDT-0700,17:58:22,Autorotate go brrrr.,,11000
zoommemes,Saad Shah,1593107443,2020-06-25 17:50:43 PDT-0700,17:50:43,any of you planning on going to quarchella edit bruh deadass this took 2 months to get approved LOL,,324
zoommemes,Amelia Angelina,1593193951,2020-06-26 17:52:31 PDT-0700,17:52:31,Homemade bullshit,,2400
zoommemes,Memes,1593232468,2020-06-27 04:34:28 PDT-0700,04:34:28,Swiped my college ID while entering the kitchen today just to feel something. Edit now that I have everyones attention damn wtf go check out this performing arts series I founded called Literary Music Series. Much love. ,,10000
