Group,Author,uTime,Normal Time,HH:MM:SS,Text,Permalink,Likes
zoommemes,Brendan Goldberg,1593315289,2020-06-28 03:34:49 PDT-0700,03:34:49,As requested<comma> I put some bangers in a playlist on spotify httpsopen.spotify.complaylist4ZJ10hUKcwmCixcwmt9Vtl Also check on my debut track<comma> 1st on the playlist... See More,https://www.facebook.com/groups/zoommemes/permalink/358510438505101/,184
zoommemes,Varun Desai,1593288067,2020-06-27 20:01:07 PDT-0700,20:01:07,Threehour walk to raise 2<comma>000 and combat COVID19 DONATE HERE httpswww.facebook.comdonate2540914906220680 Today<comma> from 47pm EST<comma> we are raising money for Shrimad Rajchandra Love and Care SRLC. Shrimad Rajchandra was Gandhis inspiration for peaceful<comma> nonviolent protest. During the COVID pandemic<comma> SRLC has already donated 2.1 million masks globally<comma> served 2 million meals to those in need<comma> and provided 7<comma>600 PPE kits. SRLC is 100 volunteerrun 97 of funds go str... See More,https://www.facebook.com/groups/zoommemes/permalink/358272268528918/,113
zoommemes,Joshua Valentine,1593237651,2020-06-27 06:00:51 PDT-0700,06:00:51,,,5500
zoommemes,Psychology and Memes,1593237647,2020-06-27 06:00:47 PDT-0700,06:00:47,,,13000
zoommemes,Emily Chan,1593237641,2020-06-27 06:00:41 PDT-0700,06:00:41,,,3100
zoommemes,Manic bi polar bear,1593237632,2020-06-27 06:00:32 PDT-0700,06:00:32,Made this in honor of 104 days back home...,,9000
zoommemes,Lovepreet Singh Saini,1593237609,2020-06-27 06:00:09 PDT-0700,06:00:09,,,2800
zoommemes,Nickia Muraskin,1593237047,2020-06-27 05:50:47 PDT-0700,05:50:47,,,2800
zoommemes,Saad Shah,1593237034,2020-06-27 05:50:34 PDT-0700,05:50:34,Real talk though<comma> hows everyone doing Feel free to vent in the comments if you need to<comma> Ill try to reply to as many as I can  EDIT I hope each and every one of you has a great day today ,,225
zoommemes,Kishan Trivedi,1593237025,2020-06-27 05:50:25 PDT-0700,05:50:25,When you try to escape reality through Community 1x08 Edit Holy crap<comma> I didnt expect over 1K likes ,,1100
zoommemes,Julie Huang,1593237006,2020-06-27 05:50:06 PDT-0700,05:50:06,Me Hey university are we coming back in the fall Email from the university,,3400
zoommemes,Razi Mahmood,1593237000,2020-06-27 05:50:00 PDT-0700,05:50:00,Perry the platypus is an American hero  found on Instagram,,13000
zoommemes,Jessica Block,1593236975,2020-06-27 05:49:35 PDT-0700,05:49:35,Dwight you ignorant slut,,3800
zoommemes,Skylar Epstein,1593232733,2020-06-27 04:38:53 PDT-0700,04:38:53,Legit the only meme i can relate to since this is what my CC did to me all over my city lol,,10000
zoommemes,Angeline Ang,1593232704,2020-06-27 04:38:24 PDT-0700,04:38:24,,,3000
zoommemes,Emilio Salamanca,1593232505,2020-06-27 04:35:05 PDT-0700,04:35:05,,,3100
zoommemes,Everett Secor,1593232468,2020-06-27 04:34:28 PDT-0700,04:34:28,Swiped my college ID while entering the kitchen today just to feel something. Edit now that I have everyones attention damn wtf go check out this performing arts series I founded called Literary Music Series. Much love. ,,10000
zoommemes,Rachel Roday,1593208563,2020-06-26 21:56:03 PDT-0700,21:56:03,A small price to pay for salvation,,16000
zoommemes,Milan Hauer,1593208463,2020-06-26 21:54:23 PDT-0700,21:54:23,If 2020 was summed up in one picture,,375
zoommemes,Amy Stromsdorfer,1593204460,2020-06-26 20:47:40 PDT-0700,20:47:40,Wow,,9000
zoommemes,Natalie Vargas Nedvetsky,1593204391,2020-06-26 20:46:31 PDT-0700,20:46:31,,,2200
zoommemes,Devanshu Desai,1593204387,2020-06-26 20:46:27 PDT-0700,20:46:27,,,592
zoommemes,Maya Dorji Choeki,1593204368,2020-06-26 20:46:08 PDT-0700,20:46:08,yknw<comma>Im something of historian myself,,7000
zoommemes,Rachel Wang,1593204347,2020-06-26 20:45:47 PDT-0700,20:45:47,Even Youtube ads have given up...,,186
zoommemes,Naomi Rajoo,1593204342,2020-06-26 20:45:42 PDT-0700,20:45:42,bruh,,403
zoommemes,Randy Gagnon,1593198012,2020-06-26 19:00:12 PDT-0700,19:00:12,I am pretty sure that you are using the password Coronvirus2020 somewhere,,266
zoommemes,The Dirtbag Diaries,1593197966,2020-06-26 18:59:26 PDT-0700,18:59:26,Changing the American flag httpsvm.tiktok.comJeT9KDM,,1300
zoommemes,Iti Dargar,1593197957,2020-06-26 18:59:17 PDT-0700,18:59:17,,,1000
zoommemes,Gauri Jain,1593197955,2020-06-26 18:59:15 PDT-0700,18:59:15,,,3000
zoommemes,Andrew Tang,1593197848,2020-06-26 18:57:28 PDT-0700,18:57:28,,,664
zoommemes,Nguyen Nè,1593197823,2020-06-26 18:57:03 PDT-0700,18:57:03,,,27
zoommemes,Jillian Dein,1593197781,2020-06-26 18:56:21 PDT-0700,18:56:21,My quaroutine may not be the healthiest or most productive<comma> but I STAND BY the fact that I have NOT done anything weird with my hair.  Btw can we just appreciate how I came up with quaroutine,,1900
zoommemes,Erdene Suvd,1593197233,2020-06-26 18:47:13 PDT-0700,18:47:13,Remember to practice social distancing ,,1500
zoommemes,Kaustubh Khamgaonkar,1593196035,2020-06-26 18:27:15 PDT-0700,18:27:15,Theres nothing like a wholesome email from a prof to start your Friday off right,,2400
zoommemes,Ben White,1593194056,2020-06-26 17:54:16 PDT-0700,17:54:16,still waitin,,2300
zoommemes,Vae DeWitt,1593193998,2020-06-26 17:53:18 PDT-0700,17:53:18,A introverts dreams ,,2700
zoommemes,Suji Kayla Shiv,1593193985,2020-06-26 17:53:05 PDT-0700,17:53:05,When youre the last one to leave the breakout room,,1800
zoommemes,Rachel Minckler,1593193951,2020-06-26 17:52:31 PDT-0700,17:52:31,Homemade bullshit,,2400
zoommemes,Julie Huang,1593193914,2020-06-26 17:51:54 PDT-0700,17:51:54,Please let me graduate sooner,,156
zoommemes,Alison Chen,1593146816,2020-06-26 04:46:56 PDT-0700,04:46:56,Is smizing hello noticeable enough Sincerely<comma> Struggling Social Student,,935
zoommemes,Elliott Lehrer,1593146718,2020-06-26 04:45:18 PDT-0700,04:45:18,care reacts only,,1200
zoommemes,Veltson Bastien,1593146584,2020-06-26 04:43:04 PDT-0700,04:43:04,,,10000
zoommemes,Jimmi Hopkins,1593146456,2020-06-26 04:40:56 PDT-0700,04:40:56,rip,,2300
zoommemes,Introvert Problems,1593146307,2020-06-26 04:38:27 PDT-0700,04:38:27,and thats on not knowing when to halve the recipe ,,1100
